municipio_distrito;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Belmonte de Tajo;;0;199
Torres de la Alameda;;256,74;1548
Somosierra;;0;1436
Alpedrete;;69,2;105
Orusco de Tajuña;;579,71;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;63;140,48;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;382,78;1646
Madrid-Retiro;47;120,19;79603
Madrid-Salamanca;44;99,57;79604
Madrid-Centro;31;103,47;79601
Madrid-Arganzuela;74;179,68;79602
Madrid-Chamartín;39;89,97;79605
Madrid-Tetuán;38;95,41;79606
Madrid-Chamberí;44;104,07;79607
Madrid-Fuencarral-El Pardo;109;165,57;79608
Madrid-Moncloa-Aravaca;37;108,64;79609
Madrid-Latina;114;157,92;79610
Madrid-Carabanchel;101;162,42;79611
Madrid-Usera;54;172,65;79612
Madrid-Puente de Vallecas;87;152,1;79613
Madrid-San Blas - Canillejas;49;129,33;79620
Madrid-Barajas;25;216,21;79621
Madrid-Moratalaz;43;139,22;79614
Madrid-Ciudad Lineal;91;143,65;79615
Madrid-Hortaleza;119;255,16;79616
Madrid-Villaverde;42;123,35;79617
Madrid-Villa de Vallecas;34;169,31;79618
Madrid-Vicálvaro;25;172,85;79619
Alcorcón;72;154,88;72
Navalcarnero;;79,51;967
San Agustín del Guadalix;;96,81;1296
Las Rozas de Madrid;30;160,09;1277
Moraleja de Enmedio;;0;894
Valdaracete;;0;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;0;1104
Valdemorillo;;153,08;1603
Navalafuente;;0;941
Velilla de San Antonio;;0;1678
Villanueva de la Cañada;7;183,29;1760
Villanueva del Pardillo;;185,36;1776
Nuevo Baztán;;145,77;1006
Villamantilla;;416,67;1757
Villamanta;;286,53;1744
Cabanillas de la Sierra;;529,1;297
Cenicientos;;582,24;376
Puentes Viejas;;0;9020
Aranjuez;25;184,45;133
Cercedilla;;280,11;382
Santorcaz;;0;1369
Coslada;36;154,43;493
Morata de Tajuña;6;328,59;915
Robregordo;;0;1261
Navarredonda y San Mamés;;1724,14;973
Venturada;;218,34;1697
Navacerrada;;0;936
Montejo de la Sierra;;813,01;881
Fresno de Torote;;439,56;571
Pinilla del Valle;;0;1126
Valdemaqueda;;0;1599
Navas del Rey;;0;992
Olmeda de las Fuentes;;2702,7;1013
Bustarviejo;;0;284
Becerril de la Sierra;;146,31;186
Fuenlabrada;85;195,45;587
Garganta de los Montes;;0;626
Pinto;18;190,72;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;14;619,74;40
Pelayos de la Presa;;0;1090
Galapagar;11;158,41;611
Griñón;;45,37;663
Gargantilla del Lozoya y Pinilla de Buitrago;;0;632
Aldea del Fresno;;0;88
Carabaña;;204,92;357
Talamanca de Jarama;;688,71;1454
Chapinería;;369;513
Ciempozuelos;10;201,13;409
Ajalvir;;419,58;29
San Lorenzo de El Escorial;7;155,8;1317
Gascones;;0;647
San Martín de la Vega;9;298,9;1322
Móstoles;125;216,48;920
Leganés;112;214,79;745
Braojos;;0;246
Cubas de la Sagra;;202,84;506
Algete;10;242,13;91
Mejorada del Campo;;64,49;843
Loeches;;0;758
Parla;45;198,4;1065
Fuentidueña de Tajo;;0;604
Ambite;;595,24;112
Torremocha de Jarama;;564,97;1533
Anchuelo;;374,53;127
Los Molinos;;163,8;875
Soto del Real;;93,07;1441
Valverde de Alcalá;;0;1662
Fuente el Saz de Jarama;7;501,07;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;151,52;1625
Campo Real;;87,8;339
Valdeavero;;964,63;1564
Villamanrique de Tajo;;0;1739
Cobeña;;0;416
Fresnedillas de la Oliva;;0;565
Valdilecha;;327,33;1659
El Berrueco;;0;210
Pezuela de las Torres;;0;1111
Villar del Olmo;;890,87;1795
Guadarrama;;130,17;685
San Martín de Valdeiglesias;;177,78;1338
Torrelodones;7;145,05;1527
Boadilla del Monte;35;383,98;225
Torrejón de Velasco;;0;1505
Villanueva de Perales;;0;1782
Tielmes;;0;1467
San Sebastián de los Reyes;27;147,14;1343
Guadalix de la Sierra;;77,94;679
Humanes de Madrid;;141,74;730
Chinchón;;347,22;528
Cadalso de los Vidrios;;111,86;318
Hoyo de Manzanares;;106,16;724
Torrejón de la Calzada;;265,43;1492
Estremera;;0;552
Corpa;;645,16;480
Meco;;97,23;838
Madarcos;;0;783
Zarzalejo;;475,06;1837
Arganda del Rey;16;157,54;148
Collado Mediano;;64,64;468
Daganzo de Arriba;;158,23;534
Manzanares El Real;;59,7;822
Buitrago del Lozoya;;0;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;154,8;360
Miraflores de la Sierra;;216,61;856
Paracuellos de Jarama;7;234,66;1049
El Vellón;;233,1;1684
Lozoya;;483,09;761
Collado Villalba;10;75,88;474
Colmenarejo;;0;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;312,5;301
Sevilla la Nueva;;202,02;1415
La Acebeda;;0;14
Redueña;;0;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;;239,01;437
Rozas de Puerto Real;;497,51;1283
Valdemanco;;0;1586
Brunete;;160,6;262
Titulcia;;331,13;1473
Villa del Prado;8;504,41;1718
Lozoyuela-Navas-Sieteiglesias;;0;9015
Quijorna;;168,63;1198
Valdemoro;49;446,27;1610
Tres Cantos;10;99,46;9036
Torrelaguna;;184,5;1512
Rivas-Vaciamadrid;11;80,1;1230
El Atazar;;0;164
Pedrezuela;;211,42;1087
Santa María de la Alameda;;0;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;;93,34;151
Moralzarzal;8;318,09;908
Canencia;;595,24;344
Villarejo de Salvanés;;172,81;1809
Serranillos del Valle;;132,8;1408
Villaviciosa de Odón;;54,25;1816
Camarma de Esteruelas;;161,94;323
Robledo de Chavela;;255,75;1258
Patones;;0;1071
Navalagamella;;0;954
Rascafría;;168,63;1202
El Boalo;;215,05;231
Majadahonda;11;67,48;800
Batres;;0;170
Alcobendas;42;163,07;66
Alcalá de Henares;144;297,56;53
Colmenar Viejo;10;99,62;455
San Fernando de Henares;13;146,07;1300
Villalbilla;;89,53;1723
El Escorial;6;142,11;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;42;154,75;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;0;259
El Molar;;0;869
Belmonte de Tajo;;236,97;199
Torres de la Alameda;;128,37;1548
Somosierra;;0;1436
Alpedrete;6;207,61;105
Orusco de Tajuña;;869,57;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;65;144,94;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;14;1339,71;1646
Pozuelo de Alarcón;21;100,59;1150
Madrid-Retiro;42;107,4;79603
Madrid-Salamanca;34;76,94;79604
Madrid-Centro;27;90,12;79601
Madrid-Arganzuela;71;172,4;79602
Madrid-Chamartín;38;87,67;79605
Madrid-Tetuán;33;82,85;79606
Madrid-Chamberí;33;78,05;79607
Madrid-Fuencarral-El Pardo;99;150,38;79608
Madrid-Moncloa-Aravaca;34;99,83;79609
Madrid-Latina;133;184,24;79610
Madrid-Carabanchel;92;147,95;79611
Madrid-Usera;32;102,31;79612
Madrid-Puente de Vallecas;102;178,32;79613
Madrid-San Blas - Canillejas;45;118,77;79620
Madrid-Barajas;19;164,32;79621
Madrid-Moratalaz;35;113,32;79614
Madrid-Ciudad Lineal;76;119,97;79615
Madrid-Hortaleza;81;173,68;79616
Madrid-Villaverde;38;111,6;79617
Madrid-Villa de Vallecas;25;124,49;79618
Madrid-Vicálvaro;23;159,03;79619
Alcorcón;64;137,67;72
Navalcarnero;;79,51;967
San Agustín del Guadalix;;48,4;1296
Las Rozas de Madrid;23;122,74;1277
Moraleja de Enmedio;;0;894
Valdaracete;;0;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;0;1104
Valdemorillo;;153,08;1603
Navalafuente;;0;941
Velilla de San Antonio;;53,45;1678
Villanueva de la Cañada;;104,74;1760
Villanueva del Pardillo;;139,02;1776
Nuevo Baztán;;72,89;1006
Villamantilla;;0;1757
Villamanta;;143,27;1744
Cabanillas de la Sierra;;0;297
Cenicientos;;145,56;376
Puentes Viejas;;0;9020
Aranjuez;20;147,56;133
Cercedilla;;280,11;382
Santorcaz;;0;1369
Coslada;27;115,82;493
Morata de Tajuña;;0;915
Robregordo;;0;1261
Navarredonda y San Mamés;;3448,28;973
Venturada;;218,34;1697
Navacerrada;;0;936
Montejo de la Sierra;;1626,02;881
Fresno de Torote;;219,78;571
