municipio_distrito;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
La Serna del Monte;;0;1381
Colmenar de Oreja;;47,8;437
Rozas de Puerto Real;;497,51;1283
Valdemanco;;0;1586
Brunete;;107,07;262
Titulcia;;331,13;1473
Villa del Prado;;0;1718
Lozoyuela-Navas-Sieteiglesias;;0;9015
Quijorna;;337,27;1198
Valdemoro;15;136,61;1610
Tres Cantos;14;139,25;9036
Torrelaguna;;461,25;1512
Rivas-Vaciamadrid;15;109,23;1230
El Atazar;;0;164
Pedrezuela;;0;1087
Santa María de la Alameda;;769,23;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;7;217,8;151
Moralzarzal;;39,76;908
Canencia;;0;344
Villarejo de Salvanés;;115,21;1809
Serranillos del Valle;;0;1408
Villaviciosa de Odón;6;81,38;1816
Camarma de Esteruelas;;0;323
Robledo de Chavela;7;596,76;1258
Patones;;2139,04;1071
Navalagamella;;0;954
Rascafría;;0;1202
El Boalo;;71,68;231
Majadahonda;15;92,02;800
Batres;;0;170
Alcobendas;22;85,42;66
Alcalá de Henares;134;276,9;53
Colmenar Viejo;10;99,62;455
San Fernando de Henares;11;123,6;1300
Villalbilla;10;447,63;1723
El Escorial;;94,74;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;24;88,43;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;0;259
El Molar;;63,49;869
Belmonte de Tajo;;0;199
Torres de la Alameda;6;385,11;1548
Somosierra;;0;1436
Alpedrete;;69,2;105
Orusco de Tajuña;;0;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;58;129,33;650
Ribatejada;;523,56;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;95,69;1646
Pozuelo de Alarcón;11;52,69;1150
Madrid-Retiro;19;48,59;79603
Madrid-Salamanca;24;54,31;79604
Madrid-Centro;7;23,36;79601
Madrid-Arganzuela;35;84,98;79602
Madrid-Chamartín;36;83,05;79605
Madrid-Tetuán;67;168,22;79606
Madrid-Chamberí;24;56,77;79607
Madrid-Fuencarral-El Pardo;38;57,72;79608
Madrid-Moncloa-Aravaca;43;126,26;79609
Madrid-Latina;50;69,26;79610
Madrid-Carabanchel;48;77,19;79611
Madrid-Usera;25;79,93;79612
Madrid-Puente de Vallecas;50;87,41;79613
Madrid-San Blas - Canillejas;30;79,18;79620
Madrid-Barajas;9;77,83;79621
Madrid-Moratalaz;42;135,98;79614
Madrid-Ciudad Lineal;49;77,35;79615
Madrid-Hortaleza;52;111,5;79616
Madrid-Villaverde;28;82,23;79617
Madrid-Villa de Vallecas;11;54,78;79618
Madrid-Vicálvaro;7;48,4;79619
Alcorcón;57;122,61;72
Navalcarnero;;79,51;967
San Agustín del Guadalix;;48,4;1296
Las Rozas de Madrid;12;64,04;1277
Moraleja de Enmedio;;193,99;894
Valdaracete;;546,45;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;0;1104
Valdemorillo;;153,08;1603
Navalafuente;;0;941
Velilla de San Antonio;;0;1678
Villanueva de la Cañada;;130,92;1760
Villanueva del Pardillo;;139,02;1776
Nuevo Baztán;;72,89;1006
Villamantilla;;0;1757
Villamanta;;0;1744
Cabanillas de la Sierra;;529,1;297
Cenicientos;;145,56;376
Puentes Viejas;;0;9020
Aranjuez;9;66,4;133
Cercedilla;;0;382
Santorcaz;;877,19;1369
Coslada;28;120,11;493
Morata de Tajuña;;109,53;915
Robregordo;;0;1261
Navarredonda y San Mamés;;0;973
Venturada;;0;1697
Navacerrada;;0;936
Montejo de la Sierra;;0;881
Fresno de Torote;;0;571
Pinilla del Valle;;0;1126
Valdemaqueda;;0;1599
Navas del Rey;;0;992
Olmeda de las Fuentes;;0;1013
Bustarviejo;;515,46;284
Becerril de la Sierra;;0;186
Fuenlabrada;49;112,67;587
Garganta de los Montes;;0;626
Pinto;8;84,76;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;;88,53;40
Pelayos de la Presa;;0;1090
Galapagar;6;86,41;611
Griñón;;90,74;663
Gargantilla del Lozoya y Pinilla de Buitrago;;1960,78;632
Aldea del Fresno;;0;88
Carabaña;;0;357
Talamanca de Jarama;;0;1454
Chapinería;;0;513
Ciempozuelos;8;160,9;409
Ajalvir;;0;29
San Lorenzo de El Escorial;;44,51;1317
Gascones;;0;647
San Martín de la Vega;;33,21;1322
Móstoles;50;86,59;920
Leganés;64;122,74;745
Braojos;;0;246
Cubas de la Sagra;;101,42;506
Algete;;72,64;91
Mejorada del Campo;;21,5;843
Loeches;;85,47;758
Parla;6;26,45;1065
Fuentidueña de Tajo;;0;604
Ambite;;0;112
Torremocha de Jarama;;0;1533
Anchuelo;;0;127
Los Molinos;;0;875
Soto del Real;;186,13;1441
Valverde de Alcalá;;0;1662
Fuente el Saz de Jarama;;71,58;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;303,03;1625
Campo Real;;0;339
Valdeavero;;321,54;1564
Villamanrique de Tajo;;0;1739
Cobeña;;0;416
Fresnedillas de la Oliva;;0;565
Valdilecha;;0;1659
El Berrueco;;0;210
Pezuela de las Torres;;392,16;1111
Villar del Olmo;;0;1795
Guadarrama;6;156,21;685
San Martín de Valdeiglesias;;133,33;1338
Torrelodones;6;124,33;1527
Boadilla del Monte;7;76,8;225
Torrejón de Velasco;;121,95;1505
Villanueva de Perales;;357,14;1782
Tielmes;;165,56;1467
San Sebastián de los Reyes;29;158,04;1343
Guadalix de la Sierra;;77,94;679
Humanes de Madrid;8;283,49;730
Chinchón;;0;528
Cadalso de los Vidrios;;223,71;318
Hoyo de Manzanares;;106,16;724
Torrejón de la Calzada;;0;1492
Estremera;;240,38;552
Corpa;;645,16;480
Meco;6;291,69;838
Madarcos;;0;783
Zarzalejo;;237,53;1837
Arganda del Rey;8;78,77;148
Collado Mediano;;0;468
Daganzo de Arriba;;158,23;534
Manzanares El Real;;179,1;822
Buitrago del Lozoya;;0;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;0;360
Miraflores de la Sierra;;144,4;856
Paracuellos de Jarama;;67,05;1049
El Vellón;;0;1684
Lozoya;;0;761
Collado Villalba;12;91,06;474
Colmenarejo;;180,94;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;312,5;301
Sevilla la Nueva;;134,68;1415
La Acebeda;;2941,18;14
Redueña;;0;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;;143,4;437
Rozas de Puerto Real;;497,51;1283
Valdemanco;;387,6;1586
Brunete;;0;262
Titulcia;;331,13;1473
Villa del Prado;;0;1718
Lozoyuela-Navas-Sieteiglesias;;0;9015
Quijorna;;0;1198
Valdemoro;18;163,93;1610
Tres Cantos;18;179,03;9036
Torrelaguna;;369;1512
Rivas-Vaciamadrid;10;72,82;1230
El Atazar;;0;164
Pedrezuela;;0;1087
Santa María de la Alameda;;256,41;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;8;248,91;151
Moralzarzal;;79,52;908
Canencia;;0;344
Villarejo de Salvanés;;57,6;1809
Serranillos del Valle;;0;1408
Villaviciosa de Odón;;27,13;1816
Camarma de Esteruelas;;80,97;323
Robledo de Chavela;;85,25;1258
Patones;;2673,8;1071
Navalagamella;;0;954
Rascafría;;0;1202
El Boalo;;143,37;231
Majadahonda;12;73,62;800
Batres;;0;170
Alcobendas;20;77,65;66
Alcalá de Henares;106;219,04;53
Colmenar Viejo;8;79,7;455
San Fernando de Henares;11;123,6;1300
Villalbilla;;223,81;1723
El Escorial;;94,74;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;16;58,95;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;0;259
El Molar;;126,98;869
Belmonte de Tajo;;236,97;199
Torres de la Alameda;;192,55;1548
Somosierra;;0;1436
Alpedrete;;69,2;105
Orusco de Tajuña;;289,86;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;56;124,87;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;0;1646
Pozuelo de Alarcón;13;62,27;1150
Madrid-Retiro;17;43,47;79603
Madrid-Salamanca;20;45,26;79604
Madrid-Centro;10;33,38;79601
Madrid-Arganzuela;25;60,7;79602
Madrid-Chamartín;21;48,45;79605
Madrid-Tetuán;30;75,32;79606
Madrid-Chamberí;22;52,04;79607
Madrid-Fuencarral-El Pardo;39;59,24;79608
Madrid-Moncloa-Aravaca;22;64,6;79609
Madrid-Latina;43;59,57;79610
Madrid-Carabanchel;56;90,06;79611
Madrid-Usera;21;67,14;79612
Madrid-Puente de Vallecas;54;94,4;79613
Madrid-San Blas - Canillejas;18;47,51;79620
Madrid-Barajas;11;95,13;79621
Madrid-Moratalaz;34;110,08;79614
Madrid-Ciudad Lineal;44;69,46;79615
Madrid-Hortaleza;42;90,06;79616
Madrid-Villaverde;18;52,86;79617
Madrid-Villa de Vallecas;10;49,8;79618
Madrid-Vicálvaro;9;62,23;79619
Alcorcón;48;103,25;72
Navalcarnero;;39,75;967
San Agustín del Guadalix;;145,21;1296
Las Rozas de Madrid;10;53,36;1277
Moraleja de Enmedio;;0;894
Valdaracete;;546,45;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;145,56;1104
Valdemorillo;;153,08;1603
Navalafuente;;367,65;941
Velilla de San Antonio;;0;1678
Villanueva de la Cañada;6;157,11;1760
Villanueva del Pardillo;;231,7;1776
Nuevo Baztán;;0;1006
Villamantilla;;0;1757
Villamanta;;0;1744
Cabanillas de la Sierra;;0;297
Cenicientos;;291,12;376
Puentes Viejas;;0;9020
Aranjuez;8;59,02;133
Cercedilla;;0;382
Santorcaz;;438,6;1369
Coslada;20;85,79;493
Morata de Tajuña;;0;915
Robregordo;;0;1261
Navarredonda y San Mamés;;0;973
Venturada;;0;1697
Navacerrada;;0;936
Montejo de la Sierra;;0;881
Fresno de Torote;;0;571
Pinilla del Valle;;0;1126
Valdemaqueda;;420,17;1599
Navas del Rey;;135,87;992
Olmeda de las Fuentes;;0;1013
Bustarviejo;;0;284
Becerril de la Sierra;;0;186
Fuenlabrada;36;82,78;587
Garganta de los Montes;;0;626
Pinto;9;95,36;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;;88,53;40
Pelayos de la Presa;;0;1090
Galapagar;;0;611
Griñón;;90,74;663
Gargantilla del Lozoya y Pinilla de Buitrago;;980,39;632
Aldea del Fresno;;0;88
Carabaña;;0;357
Talamanca de Jarama;;0;1454
Chapinería;;0;513
Ciempozuelos;9;181,01;409
Ajalvir;;0;29
San Lorenzo de El Escorial;;66,77;1317
Gascones;;0;647
San Martín de la Vega;;0;1322
Móstoles;57;98,71;920
Leganés;54;103,56;745
Braojos;;0;246
Cubas de la Sagra;;0;506
Algete;;96,85;91
Mejorada del Campo;;21,5;843
Loeches;;170,94;758
Parla;6;26,45;1065
Fuentidueña de Tajo;;0;604
Ambite;;0;112
Torremocha de Jarama;;282,49;1533
Anchuelo;;0;127
Los Molinos;;81,9;875
Soto del Real;;0;1441
Valverde de Alcalá;;0;1662
Fuente el Saz de Jarama;;71,58;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;151,52;1625
Campo Real;;0;339
Valdeavero;;321,54;1564
Villamanrique de Tajo;;0;1739
Cobeña;;94,25;416
Fresnedillas de la Oliva;;304,88;565
Valdilecha;;327,33;1659
El Berrueco;;0;210
Pezuela de las Torres;;392,16;1111
Villar del Olmo;;222,72;1795
Guadarrama;;130,17;685
San Martín de Valdeiglesias;8;355,56;1338
Torrelodones;;20,72;1527
Boadilla del Monte;;43,88;225
Torrejón de Velasco;;0;1505
Villanueva de Perales;;357,14;1782
Tielmes;;0;1467
San Sebastián de los Reyes;33;179,84;1343
Guadalix de la Sierra;;0;679
Humanes de Madrid;;70,87;730
Chinchón;;0;528
Cadalso de los Vidrios;;223,71;318
Hoyo de Manzanares;;0;724
Torrejón de la Calzada;;199,07;1492
Estremera;;0;552
Corpa;;0;480
Meco;;243,07;838
Madarcos;;0;783
Zarzalejo;;237,53;1837
Arganda del Rey;;49,23;148
Collado Mediano;;0;468
Daganzo de Arriba;;316,46;534
Manzanares El Real;;119,4;822
Buitrago del Lozoya;;0;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;0;360
Miraflores de la Sierra;;144,4;856
Paracuellos de Jarama;;67,05;1049
El Vellón;;0;1684
Lozoya;;0;761
Collado Villalba;13;98,65;474
Colmenarejo;;180,94;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;156,25;301
Sevilla la Nueva;;134,68;1415
La Acebeda;;2941,18;14
Redueña;;0;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;;143,4;437
Rozas de Puerto Real;;0;1283
Valdemanco;;387,6;1586
Brunete;;53,53;262
Titulcia;;0;1473
Villa del Prado;;0;1718
Lozoyuela-Navas-Sieteiglesias;;0;9015
Quijorna;;0;1198
Valdemoro;47;428,05;1610
Tres Cantos;;49,73;9036
Torrelaguna;;184,5;1512
Rivas-Vaciamadrid;12;87,39;1230
El Atazar;;0;164
Pedrezuela;;0;1087
Santa María de la Alameda;;0;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;6;186,68;151
Moralzarzal;;119,28;908
Canencia;;0;344
Villarejo de Salvanés;;0;1809
Serranillos del Valle;;265,6;1408
Villaviciosa de Odón;;13,56;1816
Camarma de Esteruelas;;80,97;323
Robledo de Chavela;;85,25;1258
Patones;;1069,52;1071
Navalagamella;;0;954
Rascafría;;0;1202
El Boalo;;215,05;231
Majadahonda;10;61,35;800
Batres;;0;170
Alcobendas;23;89,3;66
Alcalá de Henares;86;177,71;53
Colmenar Viejo;;19,92;455
San Fernando de Henares;11;123,6;1300
Villalbilla;;89,53;1723
El Escorial;;23,69;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;13;47,9;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;537,63;259
El Molar;;63,49;869
Belmonte de Tajo;;236,97;199
Torres de la Alameda;;192,55;1548
Somosierra;;0;1436
Alpedrete;;103,81;105
Orusco de Tajuña;;289,86;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;52;115,95;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;0;1646
Pozuelo de Alarcón;16;76,64;1150
Madrid-Retiro;17;43,47;79603
Madrid-Salamanca;11;24,89;79604
Madrid-Centro;17;56,74;79601
Madrid-Arganzuela;19;46,13;79602
Madrid-Chamartín;12;27,68;79605
Madrid-Tetuán;18;45,19;79606
Madrid-Chamberí;18;42,57;79607
Madrid-Fuencarral-El Pardo;40;60,76;79608
Madrid-Moncloa-Aravaca;22;64,6;79609
Madrid-Latina;36;49,87;79610
Madrid-Carabanchel;45;72,37;79611
Madrid-Usera;14;44,76;79612
Madrid-Puente de Vallecas;44;76,92;79613
Madrid-San Blas - Canillejas;14;36,95;79620
Madrid-Barajas;12;103,78;79621
Madrid-Moratalaz;29;93,89;79614
Madrid-Ciudad Lineal;42;66,3;79615
Madrid-Hortaleza;32;68,62;79616
Madrid-Villaverde;9;26,43;79617
Madrid-Villa de Vallecas;12;59,76;79618
Madrid-Vicálvaro;14;96,8;79619
Alcorcón;38;81,74;72
Navalcarnero;;0;967
San Agustín del Guadalix;;193,61;1296
Las Rozas de Madrid;11;58,7;1277
Moraleja de Enmedio;;96,99;894
Valdaracete;;0;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;291,12;1104
Valdemorillo;;76,54;1603
Navalafuente;;367,65;941
Velilla de San Antonio;;0;1678
Villanueva de la Cañada;;78,55;1760
Villanueva del Pardillo;;46,34;1776
Nuevo Baztán;;145,77;1006
Villamantilla;;0;1757
Villamanta;;0;1744
Cabanillas de la Sierra;;0;297
Cenicientos;;145,56;376
Puentes Viejas;;0;9020
Aranjuez;6;44,27;133
Cercedilla;;0;382
Santorcaz;;0;1369
Coslada;16;68,63;493
Morata de Tajuña;;54,76;915
Robregordo;;0;1261
Navarredonda y San Mamés;;0;973
Venturada;;0;1697
Navacerrada;;0;936
Montejo de la Sierra;;0;881
Fresno de Torote;;0;571
Pinilla del Valle;;0;1126
Valdemaqueda;;420,17;1599
Navas del Rey;;135,87;992
Olmeda de las Fuentes;;0;1013
Bustarviejo;;0;284
Becerril de la Sierra;;219,46;186
Fuenlabrada;35;80,48;587
Garganta de los Montes;;0;626
Pinto;9;95,36;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;;44,27;40
Pelayos de la Presa;;0;1090
Galapagar;;14,4;611
Griñón;;136,12;663
Gargantilla del Lozoya y Pinilla de Buitrago;;0;632
Aldea del Fresno;;0;88
Carabaña;;0;357
Talamanca de Jarama;;0;1454
Chapinería;;0;513
Ciempozuelos;7;140,79;409
Ajalvir;;0;29
San Lorenzo de El Escorial;;44,51;1317
Gascones;;0;647
San Martín de la Vega;;0;1322
Móstoles;57;98,71;920
Leganés;69;132,33;745
Braojos;;0;246
Cubas de la Sagra;;0;506
Algete;;48,43;91
Mejorada del Campo;;21,5;843
Loeches;;170,94;758
Parla;12;52,91;1065
Fuentidueña de Tajo;;0;604
Ambite;;595,24;112
Torremocha de Jarama;;282,49;1533
Anchuelo;;0;127
Los Molinos;;81,9;875
Soto del Real;;0;1441
Valverde de Alcalá;;0;1662
Fuente el Saz de Jarama;;0;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;303,03;1625
Campo Real;;0;339
Valdeavero;;321,54;1564
Villamanrique de Tajo;;0;1739
Cobeña;;94,25;416
Fresnedillas de la Oliva;;304,88;565
Valdilecha;;327,33;1659
El Berrueco;;0;210
Pezuela de las Torres;;0;1111
Villar del Olmo;;222,72;1795
Guadarrama;6;156,21;685
San Martín de Valdeiglesias;12;533,33;1338
Torrelodones;;20,72;1527
Boadilla del Monte;;21,94;225
Torrejón de Velasco;;0;1505
Villanueva de Perales;;0;1782
Tielmes;;0;1467
San Sebastián de los Reyes;32;174,39;1343
Guadalix de la Sierra;;0;679
Humanes de Madrid;;70,87;730
Chinchón;;0;528
Cadalso de los Vidrios;;0;318
Hoyo de Manzanares;;0;724
Torrejón de la Calzada;;265,43;1492
Estremera;;0;552
Corpa;;0;480
Meco;9;437,53;838
Madarcos;;0;783
Zarzalejo;;712,59;1837
Arganda del Rey;;29,54;148
Collado Mediano;;0;468
Daganzo de Arriba;;237,34;534
Manzanares El Real;;59,7;822
Buitrago del Lozoya;;0;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;0;360
Miraflores de la Sierra;;72,2;856
Paracuellos de Jarama;;33,52;1049
El Vellón;;0;1684
Lozoya;;0;761
Collado Villalba;;37,94;474
Colmenarejo;;0;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;156,25;301
Sevilla la Nueva;;67,34;1415
La Acebeda;;0;14
Redueña;;0;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;6;286,81;437
Rozas de Puerto Real;;0;1283
Valdemanco;;0;1586
Brunete;;53,53;262
Titulcia;;0;1473
Villa del Prado;;63,05;1718
Lozoyuela-Navas-Sieteiglesias;;276,24;9015
Quijorna;;0;1198
Valdemoro;50;455,37;1610
Tres Cantos;;9,95;9036
Torrelaguna;;92,25;1512
Rivas-Vaciamadrid;14;101,95;1230
El Atazar;;0;164
Pedrezuela;;528,54;1087
Santa María de la Alameda;;0;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;6;186,68;151
Moralzarzal;;39,76;908
Canencia;;0;344
Villarejo de Salvanés;;0;1809
Serranillos del Valle;;265,6;1408
Villaviciosa de Odón;;54,25;1816
Camarma de Esteruelas;;0;323
Robledo de Chavela;;0;1258
Patones;;534,76;1071
Navalagamella;;191,94;954
Rascafría;;0;1202
El Boalo;;71,68;231
Majadahonda;8;49,08;800
Batres;;0;170
Alcobendas;26;100,95;66
Alcalá de Henares;89;183,91;53
Colmenar Viejo;6;59,77;455
San Fernando de Henares;9;101,12;1300
Villalbilla;;44,76;1723
El Escorial;;47,37;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;12;44,21;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;537,63;259
El Molar;;0;869
Belmonte de Tajo;;0;199
Torres de la Alameda;;256,74;1548
Somosierra;;0;1436
Alpedrete;;69,2;105
Orusco de Tajuña;;0;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;27;60,21;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;0;1646
Pozuelo de Alarcón;7;33,53;1150
Madrid-Retiro;18;46,03;79603
Madrid-Salamanca;15;33,94;79604
Madrid-Centro;22;73,43;79601
Madrid-Arganzuela;24;58,28;79602
Madrid-Chamartín;23;53,06;79605
Madrid-Tetuán;27;67,79;79606
Madrid-Chamberí;19;44,94;79607
Madrid-Fuencarral-El Pardo;44;66,83;79608
Madrid-Moncloa-Aravaca;36;105,7;79609
Madrid-Latina;52;72,03;79610
Madrid-Carabanchel;37;59,5;79611
Madrid-Usera;25;79,93;79612
Madrid-Puente de Vallecas;41;71,68;79613
Madrid-San Blas - Canillejas;20;52,79;79620
Madrid-Barajas;13;112,43;79621
Madrid-Moratalaz;27;87,42;79614
Madrid-Ciudad Lineal;46;72,61;79615
Madrid-Hortaleza;47;100,78;79616
Madrid-Villaverde;18;52,86;79617
Madrid-Villa de Vallecas;21;104,57;79618
Madrid-Vicálvaro;12;82,97;79619
Alcorcón;32;68,83;72
Navalcarnero;;39,75;967
San Agustín del Guadalix;;242,01;1296
Las Rozas de Madrid;20;106,73;1277
Moraleja de Enmedio;;96,99;894
Valdaracete;;0;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;145,56;1104
Valdemorillo;;38,27;1603
Navalafuente;;0;941
Velilla de San Antonio;;0;1678
Villanueva de la Cañada;;52,37;1760
Villanueva del Pardillo;;46,34;1776
Nuevo Baztán;;364,43;1006
Villamantilla;;0;1757
Villamanta;;0;1744
Cabanillas de la Sierra;;0;297
Cenicientos;;436,68;376
Puentes Viejas;;0;9020
Aranjuez;;36,89;133
Cercedilla;;56,02;382
Santorcaz;;0;1369
Coslada;22;94,37;493
Morata de Tajuña;;109,53;915
Robregordo;;0;1261
Navarredonda y San Mamés;;0;973
Venturada;;0;1697
Navacerrada;;0;936
Montejo de la Sierra;;0;881
Fresno de Torote;;0;571
Pinilla del Valle;;0;1126
Valdemaqueda;;0;1599
Navas del Rey;;0;992
Olmeda de las Fuentes;;0;1013
Bustarviejo;;171,82;284
Becerril de la Sierra;;219,46;186
Fuenlabrada;32;73,58;587
Garganta de los Montes;;0;626
Pinto;8;84,76;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;;44,27;40
Pelayos de la Presa;;0;1090
Galapagar;;72;611
Griñón;;226,86;663
Gargantilla del Lozoya y Pinilla de Buitrago;;0;632
Aldea del Fresno;;0;88
Carabaña;;0;357
Talamanca de Jarama;;0;1454
Chapinería;;0;513
Ciempozuelos;;80,45;409
Ajalvir;;139,86;29
San Lorenzo de El Escorial;;22,26;1317
Gascones;;0;647
San Martín de la Vega;;0;1322
Móstoles;52;90,06;920
Leganés;75;143,84;745
Braojos;;0;246
Cubas de la Sagra;;202,84;506
Algete;;48,43;91
Mejorada del Campo;;64,49;843
Loeches;;170,94;758
Parla;14;61,73;1065
Fuentidueña de Tajo;;0;604
Ambite;;595,24;112
Torremocha de Jarama;;0;1533
Anchuelo;;0;127
Los Molinos;;81,9;875
Soto del Real;;46,53;1441
Valverde de Alcalá;;847,46;1662
Fuente el Saz de Jarama;;0;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;303,03;1625
Campo Real;;0;339
Valdeavero;;964,63;1564
Villamanrique de Tajo;;0;1739
Cobeña;;0;416
Fresnedillas de la Oliva;;0;565
Valdilecha;;327,33;1659
El Berrueco;;0;210
Pezuela de las Torres;;0;1111
Villar del Olmo;;0;1795
Guadarrama;;52,07;685
San Martín de Valdeiglesias;6;266,67;1338
Torrelodones;;20,72;1527
Boadilla del Monte;;32,91;225
Torrejón de Velasco;;121,95;1505
Villanueva de Perales;;0;1782
Tielmes;;0;1467
San Sebastián de los Reyes;25;136,24;1343
Guadalix de la Sierra;;0;679
Humanes de Madrid;;35,44;730
Chinchón;;69,44;528
Cadalso de los Vidrios;;0;318
Hoyo de Manzanares;;53,08;724
Torrejón de la Calzada;;66,36;1492
Estremera;;0;552
Corpa;;0;480
Meco;17;826,45;838
Madarcos;;0;783
Zarzalejo;;712,59;1837
Arganda del Rey;8;78,77;148
Collado Mediano;;0;468
Daganzo de Arriba;;158,23;534
Manzanares El Real;;119,4;822
Buitrago del Lozoya;;0;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;0;360
Miraflores de la Sierra;;72,2;856
Paracuellos de Jarama;;100,57;1049
El Vellón;;0;1684
Lozoya;;0;761
Collado Villalba;;30,35;474
Colmenarejo;;60,31;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;0;301
Sevilla la Nueva;;269,36;1415
La Acebeda;;0;14
Redueña;;1538,46;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;7;334,61;437
Rozas de Puerto Real;;0;1283
Valdemanco;;0;1586
Brunete;;160,6;262
Titulcia;;662,25;1473
Villa del Prado;;189,16;1718
Lozoyuela-Navas-Sieteiglesias;;1104,97;9015
Quijorna;;0;1198
Valdemoro;19;173,04;1610
Tres Cantos;11;109,41;9036
Torrelaguna;;276,75;1512
Rivas-Vaciamadrid;9;65,54;1230
El Atazar;;0;164
Pedrezuela;7;739,96;1087
Santa María de la Alameda;;0;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;;124,46;151
Moralzarzal;;0;908
Canencia;;0;344
Villarejo de Salvanés;;0;1809
Serranillos del Valle;;0;1408
Villaviciosa de Odón;7;94,94;1816
Camarma de Esteruelas;;80,97;323
Robledo de Chavela;;0;1258
Patones;;0;1071
Navalagamella;;191,94;954
Rascafría;;0;1202
El Boalo;;143,37;231
Majadahonda;14;85,88;800
Batres;;0;170
Alcobendas;42;163,07;66
Alcalá de Henares;114;235,57;53
Colmenar Viejo;7;69,74;455
San Fernando de Henares;6;67,42;1300
Villalbilla;;44,76;1723
El Escorial;;94,74;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;20;73,69;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;0;259
El Molar;;190,48;869
Belmonte de Tajo;;236,97;199
Torres de la Alameda;;192,55;1548
Somosierra;;0;1436
Alpedrete;;34,6;105
Orusco de Tajuña;;289,86;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;32;71,36;650
Ribatejada;;1047,12;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;95,69;1646
Pozuelo de Alarcón;15;71,85;1150
Madrid-Retiro;25;63,93;79603
Madrid-Salamanca;33;74,68;79604
Madrid-Centro;21;70,09;79601
Madrid-Arganzuela;47;114,12;79602
Madrid-Chamartín;65;149,96;79605
Madrid-Tetuán;36;90,39;79606
