municipio_distrito;fecha_informe;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Madrid-Retiro;9/5/2023 11:37;41;104,85;79603
Madrid-Salamanca;9/5/2023 11:37;51;115,41;79604
Madrid-Centro;9/5/2023 11:37;32;106,81;79601
Madrid-Arganzuela;9/5/2023 11:37;82;199,11;79602
Madrid-Chamartín;9/5/2023 11:37;55;126,89;79605
Madrid-Tetuán;9/5/2023 11:37;47;118;79606
Madrid-Chamberí;9/5/2023 11:37;53;125,36;79607
Madrid-Fuencarral-El Pardo;9/5/2023 11:37;93;141,26;79608
Madrid-Moncloa-Aravaca;9/5/2023 11:37;41;120,38;79609
