municipio_distrito;fecha_informe;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Aldea del Fresno;2023/03/07 11:16:00;;0;88
Carabaña;2023/03/07 11:16:00;;204,92;357
Talamanca de Jarama;2023/03/07 11:16:00;;137,74;1454
Chapinería;2023/03/07 11:16:00;;184,5;513
Ciempozuelos;2023/03/07 11:16:00;16;321,8;409
Ajalvir;2023/03/07 11:16:00;;279,72;29
San Lorenzo de El Escorial;2023/03/07 11:16:00;6;133,54;1317
Gascones;2023/03/07 11:16:00;;0;647
San Martín de la Vega;2023/03/07 11:16:00;;66,42;1322
Móstoles;2023/03/07 11:16:00;89;154,13;920
Leganés;2023/03/07 11:16:00;105;201,37;745
Braojos;2023/03/07 11:16:00;;0;246
Cubas de la Sagra;2023/03/07 11:16:00;;0;506
Algete;2023/03/07 11:16:00;;24,21;91
Mejorada del Campo;2023/03/07 11:16:00;;42,99;843
Loeches;2023/03/07 11:16:00;;0;758
Parla;2023/03/07 11:16:00;20;88,18;1065
Fuentidueña de Tajo;2023/03/07 11:16:00;;175,44;604
Ambite;2023/03/07 11:16:00;;0;112
Torremocha de Jarama;2023/03/07 11:16:00;;0;1533
Anchuelo;2023/03/07 11:16:00;;0;127
Los Molinos;2023/03/07 11:16:00;;81,9;875
Soto del Real;2023/03/07 11:16:00;;0;1441
Valverde de Alcalá;2023/03/07 11:16:00;;847,46;1662
Fuente el Saz de Jarama;2023/03/07 11:16:00;;0;590
Horcajo de la Sierra-Aoslos;2023/03/07 11:16:00;;0;702
Valdeolmos-Alalpardo;2023/03/07 11:16:00;;151,52;1625
Campo Real;2023/03/07 11:16:00;;87,8;339
Valdeavero;2023/03/07 11:16:00;;0;1564
Villamanrique de Tajo;2023/03/07 11:16:00;;0;1739
Cobeña;2023/03/07 11:16:00;6;565,5;416
Fresnedillas de la Oliva;2023/03/07 11:16:00;;0;565
Valdilecha;2023/03/07 11:16:00;;0;1659
El Berrueco;2023/03/07 11:16:00;;0;210
Pezuela de las Torres;2023/03/07 11:16:00;;0;1111
Villar del Olmo;2023/03/07 11:16:00;;222,72;1795
Guadarrama;2023/03/07 11:16:00;7;182,24;685
San Martín de Valdeiglesias;2023/03/07 11:16:00;;44,44;1338
Torrelodones;2023/03/07 11:16:00;;41,44;1527
Boadilla del Monte;2023/03/07 11:16:00;6;65,83;225
Torrejón de Velasco;2023/03/07 11:16:00;;243,9;1505
Villanueva de Perales;2023/03/07 11:16:00;;0;1782
Tielmes;2023/03/07 11:16:00;;165,56;1467
San Sebastián de los Reyes;2023/03/07 11:16:00;28;152,59;1343
Guadalix de la Sierra;2023/03/07 11:16:00;;0;679
Humanes de Madrid;2023/03/07 11:16:00;10;354,36;730
Chinchón;2023/03/07 11:16:00;;69,44;528
Cadalso de los Vidrios;2023/03/07 11:16:00;;0;318
Hoyo de Manzanares;2023/03/07 11:16:00;;0;724
Torrejón de la Calzada;2023/03/07 11:16:00;;0;1492
Estremera;2023/03/07 11:16:00;;240,38;552
Corpa;2023/03/07 11:16:00;;645,16;480
Meco;2023/03/07 11:16:00;;194,46;838
Madarcos;2023/03/07 11:16:00;;0;783
Zarzalejo;2023/03/07 11:16:00;;0;1837
Arganda del Rey;2023/03/07 11:16:00;10;98,46;148
Collado Mediano;2023/03/07 11:16:00;;129,28;468
Daganzo de Arriba;2023/03/07 11:16:00;;79,11;534
Manzanares El Real;2023/03/07 11:16:00;;119,4;822
Buitrago del Lozoya;2023/03/07 11:16:00;;0;278
Valdelaguna;2023/03/07 11:16:00;;0;1570
Valdepiélagos;2023/03/07 11:16:00;;0;1631
Casarrubuelos;2023/03/07 11:16:00;;0;360
Miraflores de la Sierra;2023/03/07 11:16:00;;72,2;856
Paracuellos de Jarama;2023/03/07 11:16:00;;100,57;1049
El Vellón;2023/03/07 11:16:00;;466,2;1684
Lozoya;2023/03/07 11:16:00;;966,18;761
Collado Villalba;2023/03/07 11:16:00;14;106,24;474
Colmenarejo;2023/03/07 11:16:00;;60,31;442
Villavieja del Lozoya;2023/03/07 11:16:00;;0;1821
Prádena del Rincón;2023/03/07 11:16:00;;0;1179
La Cabrera;2023/03/07 11:16:00;;156,25;301
Sevilla la Nueva;2023/03/07 11:16:00;;269,36;1415
La Acebeda;2023/03/07 11:16:00;;0;14
Redueña;2023/03/07 11:16:00;;0;1219
Robledillo de la Jara;2023/03/07 11:16:00;;0;1245
La Serna del Monte;2023/03/07 11:16:00;;0;1381
Colmenar de Oreja;2023/03/07 11:16:00;;143,4;437
Rozas de Puerto Real;2023/03/07 11:16:00;;497,51;1283
Valdemanco;2023/03/07 11:16:00;;0;1586
Brunete;2023/03/07 11:16:00;;160,6;262
Titulcia;2023/03/07 11:16:00;;0;1473
Villa del Prado;2023/03/07 11:16:00;;0;1718
Lozoyuela-Navas-Sieteiglesias;2023/03/07 11:16:00;;552,49;9015
Quijorna;2023/03/07 11:16:00;;168,63;1198
Valdemoro;2023/03/07 11:16:00;10;91,07;1610
Tres Cantos;2023/03/07 11:16:00;;49,73;9036
Torrelaguna;2023/03/07 11:16:00;;461,25;1512
Rivas-Vaciamadrid;2023/03/07 11:16:00;19;138,36;1230
El Atazar;2023/03/07 11:16:00;;0;164
Pedrezuela;2023/03/07 11:16:00;;0;1087
Santa María de la Alameda;2023/03/07 11:16:00;;256,41;1356
Horcajuelo de la Sierra;2023/03/07 11:16:00;;0;719
Arroyomolinos;2023/03/07 11:16:00;6;186,68;151
Moralzarzal;2023/03/07 11:16:00;;79,52;908
Canencia;2023/03/07 11:16:00;;0;344
Villarejo de Salvanés;2023/03/07 11:16:00;;57,6;1809
Serranillos del Valle;2023/03/07 11:16:00;;132,8;1408
Villaviciosa de Odón;2023/03/07 11:16:00;6;81,38;1816
Camarma de Esteruelas;2023/03/07 11:16:00;;161,94;323
Robledo de Chavela;2023/03/07 11:16:00;8;682,01;1258
Patones;2023/03/07 11:16:00;;0;1071
Navalagamella;2023/03/07 11:16:00;;0;954
Rascafría;2023/03/07 11:16:00;;0;1202
El Boalo;2023/03/07 11:16:00;;71,68;231
Majadahonda;2023/03/07 11:16:00;14;85,88;800
Batres;2023/03/07 11:16:00;;0;170
Alcobendas;2023/03/07 11:16:00;19;73,77;66
Alcalá de Henares;2023/03/07 11:16:00;128;264,5;53
Colmenar Viejo;2023/03/07 11:16:00;8;79,7;455
San Fernando de Henares;2023/03/07 11:16:00;7;78,65;1300
Villalbilla;2023/03/07 11:16:00;7;313,34;1723
El Escorial;2023/03/07 11:16:00;;47,37;549
Colmenar del Arroyo;2023/03/07 11:16:00;;0;421
Torrejón de Ardoz;2023/03/07 11:16:00;25;92,11;1489
Piñuécar-Gandullas;2023/03/07 11:16:00;;0;1147
Brea de Tajo;2023/03/07 11:16:00;;0;259
El Molar;2023/03/07 11:16:00;;0;869
Belmonte de Tajo;2023/03/07 11:16:00;;236,97;199
Torres de la Alameda;2023/03/07 11:16:00;6;385,11;1548
Somosierra;2023/03/07 11:16:00;;0;1436
Alpedrete;2023/03/07 11:16:00;;69,2;105
Orusco de Tajuña;2023/03/07 11:16:00;;0;1028
La Hiruela;2023/03/07 11:16:00;;0;698
Cervera de Buitrago;2023/03/07 11:16:00;;0;395
Getafe;2023/03/07 11:16:00;64;142,71;650
Ribatejada;2023/03/07 11:16:00;;523,56;1224
Villaconejos;2023/03/07 11:16:00;;0;1701
Valdetorres de Jarama;2023/03/07 11:16:00;;95,69;1646
Pozuelo de Alarcón;2023/03/07 11:16:00;30;143,71;1150
Madrid-Retiro;2023/02/28 13:14:00;27;69,04;79603
Madrid-Salamanca;2023/02/28 13:14:00;20;45,26;79604
Madrid-Centro;2023/02/28 13:14:00;20;66,75;79601
Madrid-Arganzuela;2023/02/28 13:14:00;36;87,41;79602
Madrid-Chamartín;2023/02/28 13:14:00;40;92,28;79605
Madrid-Tetuán;2023/02/28 13:14:00;84;210,9;79606
Madrid-Chamberí;2023/02/28 13:14:00;27;63,86;79607
Madrid-Fuencarral-El Pardo;2023/02/28 13:14:00;50;75,95;79608
Madrid-Moncloa-Aravaca;2023/02/28 13:14:00;55;161,49;79609
Madrid-Latina;2023/02/28 13:14:00;64;88,66;79610
Madrid-Carabanchel;2023/02/28 13:14:00;48;77,19;79611
Madrid-Usera;2023/02/28 13:14:00;30;95,91;79612
Madrid-Puente de Vallecas;2023/02/28 13:14:00;68;118,88;79613
Madrid-San Blas - Canillejas;2023/02/28 13:14:00;49;129,33;79620
Madrid-Barajas;2023/02/28 13:14:00;15;129,72;79621
Madrid-Moratalaz;2023/02/28 13:14:00;60;194,26;79614
Madrid-Ciudad Lineal;2023/02/28 13:14:00;59;93,13;79615
Madrid-Hortaleza;2023/02/28 13:14:00;48;102,92;79616
Madrid-Villaverde;2023/02/28 13:14:00;37;108,66;79617
Madrid-Villa de Vallecas;2023/02/28 13:14:00;18;89,63;79618
Madrid-Vicálvaro;2023/02/28 13:14:00;15;103,71;79619
Alcorcón;2023/02/28 13:14:00;57;122,61;72
Navalcarnero;2023/02/28 13:14:00;;39,75;967
San Agustín del Guadalix;2023/02/28 13:14:00;;145,21;1296
Las Rozas de Madrid;2023/02/28 13:14:00;16;85,38;1277
Moraleja de Enmedio;2023/02/28 13:14:00;;290,98;894
Valdaracete;2023/02/28 13:14:00;;0;1551
Pozuelo del Rey;2023/02/28 13:14:00;;0;1163
Puebla de la Sierra;2023/02/28 13:14:00;;0;1185
Perales de Tajuña;2023/02/28 13:14:00;;145,56;1104
Valdemorillo;2023/02/28 13:14:00;;38,27;1603
Navalafuente;2023/02/28 13:14:00;;0;941
Velilla de San Antonio;2023/02/28 13:14:00;;53,45;1678
Villanueva de la Cañada;2023/02/28 13:14:00;;26,18;1760
Villanueva del Pardillo;2023/02/28 13:14:00;;0;1776
Nuevo Baztán;2023/02/28 13:14:00;;218,66;1006
Villamantilla;2023/02/28 13:14:00;;0;1757
Villamanta;2023/02/28 13:14:00;;0;1744
Cabanillas de la Sierra;2023/02/28 13:14:00;;529,1;297
Cenicientos;2023/02/28 13:14:00;;0;376
Puentes Viejas;2023/02/28 13:14:00;;0;9020
Aranjuez;2023/02/28 13:14:00;12;88,53;133
Cercedilla;2023/02/28 13:14:00;;112,04;382
Santorcaz;2023/02/28 13:14:00;;877,19;1369
Coslada;2023/02/28 13:14:00;29;124,4;493
Morata de Tajuña;2023/02/28 13:14:00;;109,53;915
Robregordo;2023/02/28 13:14:00;;0;1261
Navarredonda y San Mamés;2023/02/28 13:14:00;;0;973
Venturada;2023/02/28 13:14:00;;218,34;1697
Navacerrada;2023/02/28 13:14:00;;0;936
Montejo de la Sierra;2023/02/28 13:14:00;;0;881
Fresno de Torote;2023/02/28 13:14:00;;0;571
Pinilla del Valle;2023/02/28 13:14:00;;0;1126
Valdemaqueda;2023/02/28 13:14:00;;0;1599
Navas del Rey;2023/02/28 13:14:00;;135,87;992
Olmeda de las Fuentes;2023/02/28 13:14:00;;0;1013
Bustarviejo;2023/02/28 13:14:00;;687,29;284
Becerril de la Sierra;2023/02/28 13:14:00;;0;186
Fuenlabrada;2023/02/28 13:14:00;71;163,26;587
Garganta de los Montes;2023/02/28 13:14:00;;0;626
Pinto;2023/02/28 13:14:00;;52,98;1132
Alameda del Valle;2023/02/28 13:14:00;;0;35
Berzosa del Lozoya;2023/02/28 13:14:00;;0;203
Los Santos de la Humosa;2023/02/28 13:14:00;;0;1375
El Álamo;2023/02/28 13:14:00;;44,27;40
Pelayos de la Presa;2023/02/28 13:14:00;;140,45;1090
Galapagar;2023/02/28 13:14:00;9;129,61;611
Griñón;2023/02/28 13:14:00;;90,74;663
Gargantilla del Lozoya y Pinilla de Buitrago;2023/02/28 13:14:00;;980,39;632
Aldea del Fresno;2023/02/28 13:14:00;;0;88
Carabaña;2023/02/28 13:14:00;;0;357
Talamanca de Jarama;2023/02/28 13:14:00;;0;1454
Chapinería;2023/02/28 13:14:00;;0;513
Ciempozuelos;2023/02/28 13:14:00;18;362,03;409
Ajalvir;2023/02/28 13:14:00;;279,72;29
San Lorenzo de El Escorial;2023/02/28 13:14:00;;89,03;1317
Gascones;2023/02/28 13:14:00;;0;647
San Martín de la Vega;2023/02/28 13:14:00;;66,42;1322
Móstoles;2023/02/28 13:14:00;70;121,23;920
Leganés;2023/02/28 13:14:00;103;197,53;745
Braojos;2023/02/28 13:14:00;;0;246
Cubas de la Sagra;2023/02/28 13:14:00;;0;506
Algete;2023/02/28 13:14:00;;0;91
Mejorada del Campo;2023/02/28 13:14:00;;42,99;843
Loeches;2023/02/28 13:14:00;;0;758
Parla;2023/02/28 13:14:00;17;74,95;1065
Fuentidueña de Tajo;2023/02/28 13:14:00;;175,44;604
Ambite;2023/02/28 13:14:00;;0;112
Torremocha de Jarama;2023/02/28 13:14:00;;0;1533
Anchuelo;2023/02/28 13:14:00;;0;127
Los Molinos;2023/02/28 13:14:00;;81,9;875
Soto del Real;2023/02/28 13:14:00;;186,13;1441
Valverde de Alcalá;2023/02/28 13:14:00;;847,46;1662
Fuente el Saz de Jarama;2023/02/28 13:14:00;;0;590
Horcajo de la Sierra-Aoslos;2023/02/28 13:14:00;;0;702
Valdeolmos-Alalpardo;2023/02/28 13:14:00;;151,52;1625
Campo Real;2023/02/28 13:14:00;;87,8;339
Valdeavero;2023/02/28 13:14:00;;321,54;1564
Villamanrique de Tajo;2023/02/28 13:14:00;;0;1739
Cobeña;2023/02/28 13:14:00;;188,5;416
Fresnedillas de la Oliva;2023/02/28 13:14:00;;0;565
Valdilecha;2023/02/28 13:14:00;;0;1659
El Berrueco;2023/02/28 13:14:00;;0;210
Pezuela de las Torres;2023/02/28 13:14:00;;0;1111
Villar del Olmo;2023/02/28 13:14:00;;222,72;1795
Guadarrama;2023/02/28 13:14:00;10;260,35;685
San Martín de Valdeiglesias;2023/02/28 13:14:00;;177,78;1338
Torrelodones;2023/02/28 13:14:00;7;145,05;1527
Boadilla del Monte;2023/02/28 13:14:00;11;120,68;225
Torrejón de Velasco;2023/02/28 13:14:00;;243,9;1505
Villanueva de Perales;2023/02/28 13:14:00;;0;1782
Tielmes;2023/02/28 13:14:00;;331,13;1467
San Sebastián de los Reyes;2023/02/28 13:14:00;23;125,34;1343
Guadalix de la Sierra;2023/02/28 13:14:00;;77,94;679
Humanes de Madrid;2023/02/28 13:14:00;12;425,23;730
Chinchón;2023/02/28 13:14:00;;69,44;528
Cadalso de los Vidrios;2023/02/28 13:14:00;;0;318
Hoyo de Manzanares;2023/02/28 13:14:00;;106,16;724
Torrejón de la Calzada;2023/02/28 13:14:00;;0;1492
Estremera;2023/02/28 13:14:00;;240,38;552
Corpa;2023/02/28 13:14:00;;645,16;480
Meco;2023/02/28 13:14:00;;194,46;838
Madarcos;2023/02/28 13:14:00;;0;783
Zarzalejo;2023/02/28 13:14:00;;237,53;1837
Arganda del Rey;2023/02/28 13:14:00;9;88,62;148
Collado Mediano;2023/02/28 13:14:00;;64,64;468
Daganzo de Arriba;2023/02/28 13:14:00;;79,11;534
Manzanares El Real;2023/02/28 13:14:00;;119,4;822
Buitrago del Lozoya;2023/02/28 13:14:00;;0;278
Valdelaguna;2023/02/28 13:14:00;;0;1570
Valdepiélagos;2023/02/28 13:14:00;;0;1631
Casarrubuelos;2023/02/28 13:14:00;;0;360
Miraflores de la Sierra;2023/02/28 13:14:00;;0;856
Paracuellos de Jarama;2023/02/28 13:14:00;;0;1049
El Vellón;2023/02/28 13:14:00;;0;1684
Lozoya;2023/02/28 13:14:00;;0;761
Collado Villalba;2023/02/28 13:14:00;12;91,06;474
Colmenarejo;2023/02/28 13:14:00;;60,31;442
Villavieja del Lozoya;2023/02/28 13:14:00;;0;1821
Prádena del Rincón;2023/02/28 13:14:00;;0;1179
La Cabrera;2023/02/28 13:14:00;;468,75;301
Sevilla la Nueva;2023/02/28 13:14:00;;202,02;1415
La Acebeda;2023/02/28 13:14:00;;0;14
Redueña;2023/02/28 13:14:00;;0;1219
Robledillo de la Jara;2023/02/28 13:14:00;;0;1245
La Serna del Monte;2023/02/28 13:14:00;;0;1381
Colmenar de Oreja;2023/02/28 13:14:00;;47,8;437
Rozas de Puerto Real;2023/02/28 13:14:00;;497,51;1283
Valdemanco;2023/02/28 13:14:00;;0;1586
Brunete;2023/02/28 13:14:00;;107,07;262
Titulcia;2023/02/28 13:14:00;;331,13;1473
Villa del Prado;2023/02/28 13:14:00;;0;1718
Lozoyuela-Navas-Sieteiglesias;2023/02/28 13:14:00;;0;9015
Quijorna;2023/02/28 13:14:00;;337,27;1198
Valdemoro;2023/02/28 13:14:00;15;136,61;1610
Tres Cantos;2023/02/28 13:14:00;14;139,25;9036
Torrelaguna;2023/02/28 13:14:00;;461,25;1512
Rivas-Vaciamadrid;2023/02/28 13:14:00;15;109,23;1230
El Atazar;2023/02/28 13:14:00;;0;164
Pedrezuela;2023/02/28 13:14:00;;0;1087
Santa María de la Alameda;2023/02/28 13:14:00;;769,23;1356
Horcajuelo de la Sierra;2023/02/28 13:14:00;;0;719
Arroyomolinos;2023/02/28 13:14:00;7;217,8;151
Moralzarzal;2023/02/28 13:14:00;;39,76;908
Canencia;2023/02/28 13:14:00;;0;344
Villarejo de Salvanés;2023/02/28 13:14:00;;115,21;1809
Serranillos del Valle;2023/02/28 13:14:00;;0;1408
Villaviciosa de Odón;2023/02/28 13:14:00;6;81,38;1816
Camarma de Esteruelas;2023/02/28 13:14:00;;0;323
Robledo de Chavela;2023/02/28 13:14:00;7;596,76;1258
Patones;2023/02/28 13:14:00;;2139,04;1071
Navalagamella;2023/02/28 13:14:00;;0;954
Rascafría;2023/02/28 13:14:00;;0;1202
El Boalo;2023/02/28 13:14:00;;71,68;231
Majadahonda;2023/02/28 13:14:00;15;92,02;800
Batres;2023/02/28 13:14:00;;0;170
Alcobendas;2023/02/28 13:14:00;22;85,42;66
Alcalá de Henares;2023/02/28 13:14:00;134;276,9;53
Colmenar Viejo;2023/02/28 13:14:00;10;99,62;455
San Fernando de Henares;2023/02/28 13:14:00;11;123,6;1300
Villalbilla;2023/02/28 13:14:00;10;447,63;1723
El Escorial;2023/02/28 13:14:00;;94,74;549
Colmenar del Arroyo;2023/02/28 13:14:00;;0;421
Torrejón de Ardoz;2023/02/28 13:14:00;24;88,43;1489
Piñuécar-Gandullas;2023/02/28 13:14:00;;0;1147
Brea de Tajo;2023/02/28 13:14:00;;0;259
El Molar;2023/02/28 13:14:00;;63,49;869
Belmonte de Tajo;2023/02/28 13:14:00;;0;199
Torres de la Alameda;2023/02/28 13:14:00;6;385,11;1548
Somosierra;2023/02/28 13:14:00;;0;1436
Alpedrete;2023/02/28 13:14:00;;69,2;105
Orusco de Tajuña;2023/02/28 13:14:00;;0;1028
La Hiruela;2023/02/28 13:14:00;;0;698
Cervera de Buitrago;2023/02/28 13:14:00;;0;395
Getafe;2023/02/28 13:14:00;58;129,33;650
Ribatejada;2023/02/28 13:14:00;;523,56;1224
Villaconejos;2023/02/28 13:14:00;;0;1701
Valdetorres de Jarama;2023/02/28 13:14:00;;95,69;1646
Pozuelo de Alarcón;2023/02/28 13:14:00;11;52,69;1150
Madrid-Retiro;2023/02/21 11:26:00;19;48,59;79603
Madrid-Salamanca;2023/02/21 11:26:00;24;54,31;79604
Madrid-Centro;2023/02/21 11:26:00;7;23,36;79601
Madrid-Arganzuela;2023/02/21 11:26:00;35;84,98;79602
Madrid-Chamartín;2023/02/21 11:26:00;36;83,05;79605
Madrid-Tetuán;2023/02/21 11:26:00;67;168,22;79606
Madrid-Chamberí;2023/02/21 11:26:00;24;56,77;79607
Madrid-Fuencarral-El Pardo;2023/02/21 11:26:00;38;57,72;79608
Madrid-Moncloa-Aravaca;2023/02/21 11:26:00;43;126,26;79609
Madrid-Latina;2023/02/21 11:26:00;50;69,26;79610
Madrid-Carabanchel;2023/02/21 11:26:00;48;77,19;79611
Madrid-Usera;2023/02/21 11:26:00;25;79,93;79612
Madrid-Puente de Vallecas;2023/02/21 11:26:00;50;87,41;79613
Madrid-San Blas - Canillejas;2023/02/21 11:26:00;30;79,18;79620
Madrid-Barajas;2023/02/21 11:26:00;9;77,83;79621
Madrid-Moratalaz;2023/02/21 11:26:00;42;135,98;79614
Madrid-Ciudad Lineal;2023/02/21 11:26:00;49;77,35;79615
Madrid-Hortaleza;2023/02/21 11:26:00;52;111,5;79616
Madrid-Villaverde;2023/02/21 11:26:00;28;82,23;79617
Madrid-Villa de Vallecas;2023/02/21 11:26:00;11;54,78;79618
Madrid-Vicálvaro;2023/02/21 11:26:00;7;48,4;79619
Alcorcón;2023/02/21 11:26:00;57;122,61;72
Navalcarnero;2023/02/21 11:26:00;;79,51;967
San Agustín del Guadalix;2023/02/21 11:26:00;;48,4;1296
Las Rozas de Madrid;2023/02/21 11:26:00;12;64,04;1277
Moraleja de Enmedio;2023/02/21 11:26:00;;193,99;894
Valdaracete;2023/02/21 11:26:00;;546,45;1551
Pozuelo del Rey;2023/02/21 11:26:00;;0;1163
Puebla de la Sierra;2023/02/21 11:26:00;;0;1185
Perales de Tajuña;2023/02/21 11:26:00;;0;1104
Valdemorillo;2023/02/21 11:26:00;;153,08;1603
Navalafuente;2023/02/21 11:26:00;;0;941
Velilla de San Antonio;2023/02/21 11:26:00;;0;1678
Villanueva de la Cañada;2023/02/21 11:26:00;;130,92;1760
Villanueva del Pardillo;2023/02/21 11:26:00;;139,02;1776
Nuevo Baztán;2023/02/21 11:26:00;;72,89;1006
Villamantilla;2023/02/21 11:26:00;;0;1757
Villamanta;2023/02/21 11:26:00;;0;1744
Cabanillas de la Sierra;2023/02/21 11:26:00;;529,1;297
Cenicientos;2023/02/21 11:26:00;;145,56;376
Puentes Viejas;2023/02/21 11:26:00;;0;9020
Aranjuez;2023/02/21 11:26:00;9;66,4;133
Cercedilla;2023/02/21 11:26:00;;0;382
Santorcaz;2023/02/21 11:26:00;;877,19;1369
Coslada;2023/02/21 11:26:00;28;120,11;493
Morata de Tajuña;2023/02/21 11:26:00;;109,53;915
Robregordo;2023/02/21 11:26:00;;0;1261
Navarredonda y San Mamés;2023/02/21 11:26:00;;0;973
Venturada;2023/02/21 11:26:00;;0;1697
Navacerrada;2023/02/21 11:26:00;;0;936
Montejo de la Sierra;2023/02/21 11:26:00;;0;881
Fresno de Torote;2023/02/21 11:26:00;;0;571
Pinilla del Valle;2023/02/21 11:26:00;;0;1126
Valdemaqueda;2023/02/21 11:26:00;;0;1599
Navas del Rey;2023/02/21 11:26:00;;0;992
Olmeda de las Fuentes;2023/02/21 11:26:00;;0;1013
Bustarviejo;2023/02/21 11:26:00;;515,46;284
Becerril de la Sierra;2023/02/21 11:26:00;;0;186
Fuenlabrada;2023/02/21 11:26:00;49;112,67;587
Garganta de los Montes;2023/02/21 11:26:00;;0;626
Pinto;2023/02/21 11:26:00;8;84,76;1132
Alameda del Valle;2023/02/21 11:26:00;;0;35
Berzosa del Lozoya;2023/02/21 11:26:00;;0;203
Los Santos de la Humosa;2023/02/21 11:26:00;;0;1375
El Álamo;2023/02/21 11:26:00;;88,53;40
Pelayos de la Presa;2023/02/21 11:26:00;;0;1090
Galapagar;2023/02/21 11:26:00;6;86,41;611
Griñón;2023/02/21 11:26:00;;90,74;663
Gargantilla del Lozoya y Pinilla de Buitrago;2023/02/21 11:26:00;;1960,78;632
Aldea del Fresno;2023/02/21 11:26:00;;0;88
Carabaña;2023/02/21 11:26:00;;0;357
Talamanca de Jarama;2023/02/21 11:26:00;;0;1454
Chapinería;2023/02/21 11:26:00;;0;513
Ciempozuelos;2023/02/21 11:26:00;8;160,9;409
Ajalvir;2023/02/21 11:26:00;;0;29
San Lorenzo de El Escorial;2023/02/21 11:26:00;;44,51;1317
Gascones;2023/02/21 11:26:00;;0;647
San Martín de la Vega;2023/02/21 11:26:00;;33,21;1322
Móstoles;2023/02/21 11:26:00;50;86,59;920
Leganés;2023/02/21 11:26:00;64;122,74;745
Braojos;2023/02/21 11:26:00;;0;246
Cubas de la Sagra;2023/02/21 11:26:00;;101,42;506
Algete;2023/02/21 11:26:00;;72,64;91
Mejorada del Campo;2023/02/21 11:26:00;;21,5;843
Loeches;2023/02/21 11:26:00;;85,47;758
Parla;2023/02/21 11:26:00;6;26,45;1065
Fuentidueña de Tajo;2023/02/21 11:26:00;;0;604
Ambite;2023/02/21 11:26:00;;0;112
Torremocha de Jarama;2023/02/21 11:26:00;;0;1533
Anchuelo;2023/02/21 11:26:00;;0;127
Los Molinos;2023/02/21 11:26:00;;0;875
Soto del Real;2023/02/21 11:26:00;;186,13;1441
Valverde de Alcalá;2023/02/21 11:26:00;;0;1662
Fuente el Saz de Jarama;2023/02/21 11:26:00;;71,58;590
Horcajo de la Sierra-Aoslos;2023/02/21 11:26:00;;0;702
Valdeolmos-Alalpardo;2023/02/21 11:26:00;;303,03;1625
Campo Real;2023/02/21 11:26:00;;0;339
Valdeavero;2023/02/21 11:26:00;;321,54;1564
Villamanrique de Tajo;2023/02/21 11:26:00;;0;1739
Cobeña;2023/02/21 11:26:00;;0;416
Fresnedillas de la Oliva;2023/02/21 11:26:00;;0;565
Valdilecha;2023/02/21 11:26:00;;0;1659
El Berrueco;2023/02/21 11:26:00;;0;210
Pezuela de las Torres;2023/02/21 11:26:00;;392,16;1111
Villar del Olmo;2023/02/21 11:26:00;;0;1795
Guadarrama;2023/02/21 11:26:00;6;156,21;685
San Martín de Valdeiglesias;2023/02/21 11:26:00;;133,33;1338
Torrelodones;2023/02/21 11:26:00;6;124,33;1527
Boadilla del Monte;2023/02/21 11:26:00;7;76,8;225
Torrejón de Velasco;2023/02/21 11:26:00;;121,95;1505
Villanueva de Perales;2023/02/21 11:26:00;;357,14;1782
Tielmes;2023/02/21 11:26:00;;165,56;1467
San Sebastián de los Reyes;2023/02/21 11:26:00;29;158,04;1343
Guadalix de la Sierra;2023/02/21 11:26:00;;77,94;679
Humanes de Madrid;2023/02/21 11:26:00;8;283,49;730
Chinchón;2023/02/21 11:26:00;;0;528
Cadalso de los Vidrios;2023/02/21 11:26:00;;223,71;318
Hoyo de Manzanares;2023/02/21 11:26:00;;106,16;724
Torrejón de la Calzada;2023/02/21 11:26:00;;0;1492
Estremera;2023/02/21 11:26:00;;240,38;552
Corpa;2023/02/21 11:26:00;;645,16;480
Meco;2023/02/21 11:26:00;6;291,69;838
Madarcos;2023/02/21 11:26:00;;0;783
Zarzalejo;2023/02/21 11:26:00;;237,53;1837
Arganda del Rey;2023/02/21 11:26:00;8;78,77;148
Collado Mediano;2023/02/21 11:26:00;;0;468
Daganzo de Arriba;2023/02/21 11:26:00;;158,23;534
Manzanares El Real;2023/02/21 11:26:00;;179,1;822
Buitrago del Lozoya;2023/02/21 11:26:00;;0;278
Valdelaguna;2023/02/21 11:26:00;;0;1570
Valdepiélagos;2023/02/21 11:26:00;;0;1631
Casarrubuelos;2023/02/21 11:26:00;;0;360
Miraflores de la Sierra;2023/02/21 11:26:00;;144,4;856
Paracuellos de Jarama;2023/02/21 11:26:00;;67,05;1049
El Vellón;2023/02/21 11:26:00;;0;1684
Lozoya;2023/02/21 11:26:00;;0;761
Collado Villalba;2023/02/21 11:26:00;12;91,06;474
Colmenarejo;2023/02/21 11:26:00;;180,94;442
Villavieja del Lozoya;2023/02/21 11:26:00;;0;1821
Prádena del Rincón;2023/02/21 11:26:00;;0;1179
La Cabrera;2023/02/21 11:26:00;;312,5;301
Sevilla la Nueva;2023/02/21 11:26:00;;134,68;1415
La Acebeda;2023/02/21 11:26:00;;2941,18;14
Redueña;2023/02/21 11:26:00;;0;1219
Robledillo de la Jara;2023/02/21 11:26:00;;0;1245
La Serna del Monte;2023/02/21 11:26:00;;0;1381
Colmenar de Oreja;2023/02/21 11:26:00;;143,4;437
